9.997529907e+02;-6.336522675e+01
9.998018799e+02;-6.567839813e+01
9.998508911e+02;-6.480393982e+01
9.998998413e+02;-6.599304199e+01
9.999488525e+02;-6.903450012e+01
9.999978027e+02;-6.545543671e+01
1.000046814e+03;-6.778160858e+01
1.000095764e+03;-6.818844604e+01
1.000144836e+03;-7.052844238e+01
1.000193787e+03;-6.582356262e+01
1.000242859e+03;-7.251548767e+01
1.000291931e+03;-6.665089417e+01
1.000340881e+03;-6.860594177e+01
1.000389954e+03;-6.550714874e+01
1.000438904e+03;-6.488078308e+01
1.000487976e+03;-6.524895477e+01
1.000536987e+03;-6.503294373e+01
1.000586060e+03;-7.262355042e+01
1.000635071e+03;-6.896478271e+01
1.000684204e+03;-6.535417175e+01
1.000733154e+03;-6.513056946e+01
1.000782288e+03;-6.493583679e+01
1.000831299e+03;-6.415858459e+01
1.000880432e+03;-6.945908356e+01
1.000929443e+03;-6.946328735e+01
1.000978577e+03;-6.517764282e+01
1.001027588e+03;-6.754270172e+01
1.001076782e+03;-6.462412262e+01
1.001125793e+03;-6.512086487e+01
1.001174927e+03;-7.020975494e+01
1.001223999e+03;-6.497831726e+01
1.001273132e+03;-6.342642212e+01
1.001322327e+03;-7.019686127e+01
1.001371399e+03;-6.572001648e+01
1.001420593e+03;-7.047356415e+01
1.001469666e+03;-6.635452271e+01
1.001518799e+03;-6.654721832e+01
1.001567932e+03;-6.683734131e+01
1.001617126e+03;-6.754851532e+01
1.001666199e+03;-6.965267944e+01
1.001715393e+03;-6.512343597e+01
1.001764526e+03;-6.619744110e+01
1.001813721e+03;-7.345191193e+01
1.001862854e+03;-6.881578827e+01
1.001912048e+03;-6.820820618e+01
1.001961182e+03;-7.065529633e+01
1.002010437e+03;-6.666795349e+01
1.002059570e+03;-6.389514923e+01
1.002108765e+03;-6.744094849e+01
1.002157959e+03;-6.749752808e+01
1.002207214e+03;-6.561270142e+01
1.002256348e+03;-6.489493561e+01
1.002305603e+03;-6.530077362e+01
1.002354797e+03;-6.440585327e+01
1.002404053e+03;-7.081108093e+01
1.002453308e+03;-6.879219818e+01
1.002502502e+03;-6.692536163e+01
1.002551758e+03;-6.633422852e+01
1.002600952e+03;-6.786230469e+01
1.002650269e+03;-6.866372681e+01
1.002699463e+03;-7.535307312e+01
